scenario_id,planner_id,seed,fog_condition,success,path_length,executed_steps,replans,computation_time_ms
osm_downtown_fire_surveillance_medium,aggressive_replan,2,fog_on,True,593,1218,128,121701.53
osm_downtown_fire_surveillance_medium,aggressive_replan,3,fog_on,True,275,1284,54,113859.9
osm_downtown_fire_surveillance_medium,aggressive_replan,8,fog_on,True,278,387,91,29648.99
osm_downtown_fire_surveillance_medium,dstar_lite,1,fog_on,False,0,1,0,45.0
osm_downtown_fire_surveillance_medium,dstar_lite,0,fog_on,True,243,374,9,27724.91
osm_downtown_fire_surveillance_medium,aggressive_replan,9,fog_on,True,104,757,55,47262.79
osm_downtown_fire_surveillance_medium,dstar_lite,3,fog_on,True,275,283,5,17226.94
osm_downtown_fire_surveillance_medium,aggressive_replan,6,fog_on,True,578,1611,121,107312.4
osm_downtown_fire_surveillance_medium,dstar_lite,4,fog_on,True,478,839,4,45469.75
osm_downtown_fire_surveillance_medium,aggressive_replan,7,fog_on,True,686,1781,129,117132.81
osm_downtown_fire_surveillance_medium,dstar_lite,2,fog_on,True,593,1286,3,82357.77
osm_downtown_fire_surveillance_medium,aggressive_replan,5,fog_on,False,619,2001,107,149846.18
osm_downtown_fire_surveillance_medium,dstar_lite,9,fog_on,True,124,124,0,6770.94
osm_downtown_fire_surveillance_medium,apf,1,fog_on,False,0,1,0,51.22
osm_downtown_fire_surveillance_medium,dstar_lite,8,fog_on,True,278,387,5,25452.01
osm_downtown_fire_surveillance_medium,apf,3,fog_on,True,367,381,13,23060.28
osm_downtown_fire_surveillance_medium,dstar_lite,5,fog_on,False,619,2001,7,128757.33
osm_downtown_fire_surveillance_medium,dstar_lite,6,fog_on,True,578,1671,13,104193.51
osm_downtown_fire_surveillance_medium,dstar_lite,7,fog_on,True,686,1823,7,113557.56
osm_downtown_fire_surveillance_medium,apf,2,fog_on,True,593,1448,9,94805.0
osm_downtown_fire_surveillance_medium,apf,0,fog_on,True,311,1933,19,109500.11
osm_downtown_fire_surveillance_medium,apf,4,fog_on,True,478,1265,4,72475.15
osm_downtown_fire_surveillance_medium,apf,5,fog_on,True,619,791,12,48873.88
osm_downtown_fire_surveillance_medium,apf,9,fog_on,True,174,230,4,12570.54
osm_downtown_fire_surveillance_medium,apf,6,fog_on,True,578,940,13,60102.85
osm_downtown_fire_surveillance_medium,apf,8,fog_on,True,1206,1514,75,67297.56
osm_downtown_fire_surveillance_medium,apf,7,fog_on,True,686,1644,41,70997.53
14,75,103920.02
